field_id	title	availability	stability	private	value_type	base_type	item_type	strata	instanced	arrayed	sexed	units	main_category	encoding_id	instance_id	instance_min	instance_max	array_min	array_max	notes	debut	version	num_participants	item_count	showcase_order
3	Verbal interview duration	0	0	0	11	0	0	2	1	0	0	seconds	152	0	2	0	2	0	0	Time taken for interview	2012-01-05	2018-10-15	501690	549677	0
4	Biometrics duration	0	0	0	11	0	0	2	1	0	0	seconds	152	0	2	0	2	0	0	Time taken for participant to do the tests in the biometric station of the Assessment Centre visit.	2012-01-05	2018-10-15	497896	546835	0
5	Sample collection duration	0	0	0	11	0	0	2	1	0	0	seconds	152	0	2	0	2	0	0	Time taken for participant to complete the blood phlebotomy station of the Assessment Centre visit. This is longer than the time during which they were actively giving blood.	2012-01-05	2018-10-15	501355	551576	0
6	Conclusion duration	0	0	0	11	0	0	2	1	0	0	seconds	152	0	2	0	2	0	0	This is the time taken for the participant to complete the final conclusion stage of the Assessment Centre visit.	2012-01-05	2018-10-15	498952	548624	0
19	Heel ultrasound method	0	0	0	21	11	0	0	0	0	0		100018	100260	2	0	0	0	0	Method used for the Ultrasound Bone Densitometry of heel	2012-01-05	2012-01-06	324794	324794	3
21	Weight method	0	0	0	21	11	0	0	1	0	0		100010	100261	2	0	2	0	0	Indicates whether weight was entered into the machine directly or manually, whether weight was only measured manually or not performed	2012-01-05	2018-10-15	500864	550587	11
23	Spirometry method	0	0	0	21	11	0	0	1	0	0		100020	100270	2	0	2	0	0	Spirometry method	2012-01-05	2018-10-15	459450	502017	180
31	Sex	0	0	0	21	11	0	0	0	0	0		100094	9	0	0	0	0	0	Sex of participant.<p>Acquired from central registry, updated by participant.	2012-01-05	2012-01-06	502544	502544	4
33	Date of birth	0	0	1	51	0	0	0	0	0	0		100094	0	0	0	0	0	0	Date of birth of participant.<p>Acquired from central registry, updated by participant. <p> This data-field will only be made available to researchers in exceptional circumstances. Wherever possible, reasearchers should use Month of Birth (~F52~) and Year of Birth (~F34~) instead.	2012-01-05	2012-01-06	502544	502544	1
34	Year of birth	0	0	0	11	0	0	0	0	0	0	years	100094	0	0	0	0	0	0	Year of birth of participant.<p>Acquired from central registry, updated by participant.	2012-01-05	2012-01-06	502544	502544	3
