coding,selectable,parent_id,node_id,meaning,Level
0,Y,0,999999999,Other job (free text entry),0.0
1,N,0,1,Managers and Senior Officials,0.0
2,N,0,2,Professional Occupations,0.0
3,N,0,3,Associate Professional and Technical Occupations,0.0
4,N,0,4,Administrative and Secretarial Occupations,0.0
5,N,0,5,Skilled Trades Occupations,0.0
6,N,0,6,Personal Service Occupations,0.0
7,N,0,7,Sales and Customer Service Occupations,0.0
8,N,0,8,"Process, Plant and Machine Operatives",0.0
9,N,0,9,Elementary Occupations,0.0
11,N,1,11,Corporate Managers,1.0
12,N,1,12,Managers And Proprietors In Agriculture And Services,1.0
21,N,2,21,Science And Technology Professionals,1.0
22,N,2,22,Health Professionals,1.0
23,N,2,23,Teaching And Research Professionals,1.0
24,N,2,24,Business And Public Service Professionals,1.0
31,N,3,31,Science And Technology Associate Professionals,1.0
32,N,3,32,Health And Social Welfare Associate Professionals,1.0
33,N,3,33,Protective Service Occupations,1.0
34,N,3,34,"Culture, Media And Sports Occupations",1.0
35,N,3,35,Business And Public Service Associate Professionals,1.0
41,N,4,41,Administrative Occupations,1.0
42,N,4,42,Secretarial And Related Occupations,1.0
51,N,5,51,Skilled Agricultural Trades,1.0
52,N,5,52,Skilled Metal And Electrical Trades,1.0
53,N,5,53,Skilled Construction And Building Trades,1.0
54,N,5,54,"Textiles, Printing And Other Skilled Trades",1.0
61,N,6,61,Caring Personal Service Occupations,1.0
62,N,6,62,Leisure And Other Personal Service Occupations,1.0
71,N,7,71,Sales Occupations,1.0
72,N,7,72,Customer Service Occupations,1.0
81,N,8,81,"Process, Plant And Machine Operatives",1.0
82,N,8,82,Transport And Mobile Machine Drivers And Operatives,1.0
91,N,9,91,"Elementary Trades, Plant And Storage Related Occupations",1.0
92,N,9,92,Elementary Administration And Service Occupations,1.0
111,N,11,111,Corporate Managers And Senior Officials,2.0
112,N,11,112,Production Managers,2.0
113,N,11,113,Functional Managers,2.0
114,N,11,114,Quality And Customer Care Managers,2.0
115,N,11,115,Financial Institution And Office Managers,2.0
116,N,11,116,"Managers In Distribution, Storage And Retailing",2.0
117,N,11,117,Protective Service Officers,2.0
118,N,11,118,Health And Social Services Managers,2.0
121,N,12,121,"Managers In Farming, Horticulture, Forestry And Fishing",2.0
122,N,12,122,Managers And Proprietors In Hospitality And Leisure Services,2.0
123,N,12,123,Managers And Proprietors In Other Service Industries,2.0
211,N,21,211,Science Professionals,2.0
212,N,21,212,Engineering Professionals,2.0
213,N,21,213,Information And Communication Technology Professionals,2.0
221,N,22,221,Health Professionals,2.0
231,N,23,231,Teaching Professionals,2.0
232,N,23,232,Research Professionals,2.0
241,N,24,241,Legal Professionals,2.0
242,N,24,242,Business And Statistical Professionals,2.0
243,N,24,243,"Architects, Town Planners, Surveyors",2.0
244,N,24,244,Public Service Professionals,2.0
245,N,24,245,Librarians And Related Professionals,2.0
311,N,31,311,Science And Engineering Technicians,2.0
312,N,31,312,Draughtspersons And Building Inspectors,2.0
313,N,31,313,IT Service Delivery Occupations,2.0
321,N,32,321,Health Associate Professionals,2.0
322,N,32,322,Therapists,2.0
323,N,32,323,Social Welfare Associate Professionals,2.0
331,N,33,331,Protective Service Occupations,2.0
341,N,34,341,Artistic And Literary Occupations,2.0
342,N,34,342,Design Associate Professionals,2.0
343,N,34,343,Media Associate Professionals,2.0
344,N,34,344,Sports And Fitness Occupations,2.0
351,N,35,351,Transport Associate Professionals,2.0
352,N,35,352,Legal Associate Professionals,2.0
353,N,35,353,Business And Finance Associate Professionals,2.0
354,N,35,354,Sales And Related Associate Professionals,2.0
355,N,35,355,Conservation Associate Professionals,2.0
356,N,35,356,Public Service And Other Associate Professionals,2.0
411,N,41,411,Administrative Occupations: Government And Related Organisations,2.0
412,N,41,412,Administrative Occupations: Finance,2.0
413,N,41,413,Administrative Occupations: Records,2.0
414,N,41,414,Administrative Occupations: Communications,2.0
415,N,41,415,Administrative Occupations: General,2.0
