field_id	title	availability	stability	private	value_type	base_type	item_type	strata	instanced	arrayed	sexed	units	main_category	encoding_id	instance_id	instance_min	instance_max	array_min	array_max	notes	debut	version	num_participants	item_count	showcase_order
3	Verbal interview duration	0	0	0	11	0	0	2	1	0	0	seconds	152	0	2	0	3	0	0	Time taken for interview	2012-01-05	2020-03-05	501655	567782	0
4	Biometrics duration	0	0	0	11	0	0	2	1	0	0	seconds	152	0	2	0	3	0	0	Time taken for participant to do the tests in the biometric station of the Assessment Centre visit.	2012-01-05	2020-03-05	497975	567671	0
5	Sample collection duration	0	0	0	11	0	0	2	1	0	0	seconds	152	0	2	0	3	0	0	Time taken for participant to complete the blood phlebotomy station of the Assessment Centre visit. This is longer than the time during which they were actively giving blood.	2012-01-05	2020-03-05	501326	572643	0
6	Conclusion duration	0	0	0	11	0	0	2	1	0	0	seconds	152	0	2	0	3	0	0	This is the time taken for the participant to complete the final conclusion stage of the Assessment Centre visit.	2012-01-05	2020-03-05	499029	570215	0
19	Heel ultrasound method	0	0	0	21	11	0	0	1	0	0		100018	100260	2	0	0	0	0	Method used for the Ultrasound Bone Densitometry of heel	2012-01-05	2012-01-06	324777	324777	3
21	Weight method	0	0	0	21	11	0	0	1	0	0		100010	100261	2	0	3	0	0	Indicates whether weight was entered into the machine directly or manually, whether weight was only measured manually or not performed	2012-01-05	2020-03-05	500840	571418	11
23	Spirometry method	0	0	0	21	11	0	0	1	0	0		100020	100270	2	0	3	0	0	Spirometry method	2012-01-05	2020-03-05	460185	520993	180
31	Sex	0	0	0	21	11	0	0	0	0	0		100094	9	0	0	0	0	0	Sex of participant. <p>Acquired from central registry at recruitment, but in some cases updated by the participant. Hence this field may contain a mixture of the sex the NHS had recorded for the participant and self-reported sex.	2012-01-05	2019-07-18	502505	502505	4
33	Date of birth	0	0	1	51	0	0	0	0	0	0		100094	0	0	0	0	0	0	Date of birth of participant.<p>Acquired from central registry, updated by participant. <p> This data-field will only be made available to researchers in exceptional circumstances. Wherever possible, reasearchers should use Month of Birth (~F52~) and Year of Birth (~F34~) instead.	2012-01-05	2012-01-06	502505	502505	1
34	Year of birth	0	0	0	11	0	0	0	0	0	0	years	100094	0	0	0	0	0	0	Year of birth of participant.<p>Acquired from central registry, updated by participant.	2012-01-05	2012-01-06	502505	502505	3
35	Was blood sampling attempted	0	0	0	21	11	0	0	1	0	0		100002	7	2	0	3	0	0	Indicates whether or not taking blood samples was attempted	2012-01-05	2020-03-05	501326	572643	1
36	Blood pressure device ID	0	0	0	41	0	0	2	1	0	0		100011	0	2	0	3	0	0	Blood pressure (Omron) gadget ID	2012-01-05	2020-03-05	498753	564013	0
37	Blood pressure manual sphygmomanometer device ID	0	0	0	41	0	0	2	1	0	0		100011	0	2	0	3	0	0	Blood pressure manual sphygmomanometer gadget ID	2012-01-05	2020-03-05	498753	564013	0
38	Hand grip dynamometer device ID	0	0	0	41	0	0	2	1	0	0		100019	0	2	0	3	0	0	Hand grip dynamometer device id	2012-01-05	2020-03-05	497976	567672	3
39	Height measure device ID	0	0	0	41	0	0	2	1	0	0		100010	0	2	0	3	0	0	Height measure gadget id	2012-01-05	2020-03-05	497976	567672	5
40	Manual scales device ID	0	0	0	41	0	0	2	1	0	0		100010	0	2	0	3	0	0	Manual scales gadget id	2012-01-05	2020-03-05	497976	567672	12
41	Seating box device ID	0	0	0	41	0	0	2	1	0	0		100010	0	2	0	3	0	0	Sitting box gadget id	2012-01-05	2020-03-05	497976	567672	9
42	Spirometer device ID	0	0	0	41	0	0	2	1	0	0		100020	0	2	0	3	0	0	Spirometer gadget ID	2012-01-05	2020-03-05	497976	567672	440
43	Impedance device ID	0	0	0	41	0	0	2	1	0	0		100009	0	2	0	3	0	0	Impedance (Tanita) gadget id	2012-01-05	2020-03-05	497976	567672	370
44	Tape measure device ID	0	0	0	41	0	0	2	1	0	0		100010	0	2	0	3	0	0	Tape measure gadget id	2012-01-05	2020-03-05	497976	567672	3
45	Heel ultrasound device id	0	0	0	41	0	0	2	1	0	0		100018	0	2	0	3	0	0	Ultrasound heel (Sahara) gadget ID	2012-01-05	2020-03-05	497976	567672	42
46	Hand grip strength (left)	0	0	0	11	0	0	0	1	0	0	Kg	100019	0	2	0	3	0	0	Left grip strength	2012-01-05	2020-03-05	499267	569378	1
47	Hand grip strength (right)	0	0	0	11	0	0	0	1	0	0	Kg	100019	0	2	0	3	0	0	Right grip strength	2012-01-05	2020-03-05	499340	569463	1.5
48	Waist circumference	0	0	0	31	0	0	0	1	0	0	cm	100010	0	2	0	3	0	0	Waist circumference	2012-01-05	2020-03-05	500407	570954	1
49	Hip circumference	0	0	0	31	0	0	0	1	0	0	cm	100010	0	2	0	3	0	0	Hip circumference	2012-01-05	2020-03-05	500345	570892	2
50	Standing height	0	0	0	31	0	0	0	1	0	0	cm	100010	0	2	0	3	0	0	Standing height was measured using a Seca 202 device	2012-01-05	2020-03-05	500042	570525	4
